file,scenario,git_info,max_iter,LLM,LLM_temp,NOFEEDBACK,GENCMD,RUNFUZZ,subject,commit,final_result,unintended_bug,time,iid,score,success
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2215.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,b7e3bae,N,False,160,5013,0,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2215.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,191,5138,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2215.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,53b61c1,R,False,184,5117,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2215.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,205,5153,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2243.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,b7e3bae,N,False,160,5013,0,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2243.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,200,5138,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2243.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,53b61c1,R,False,155,5117,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2243.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,205,5153,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2306.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,b7e3bae,N,False,155,5013,0,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2306.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,209,5138,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2306.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,53b61c1,R,False,165,5117,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2306.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,202,5153,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2329.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,b7e3bae,N,False,153,5013,0,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2329.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,204,5138,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2329.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,53b61c1,R,False,170,5117,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2329.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,199,5153,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2352.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,b7e3bae,N,False,149,5013,0,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2352.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,196,5138,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2352.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,53b61c1,R,False,181,5117,1,0
SUMMARY_jerryscript_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2352.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,70e275e,R,False,201,5153,1,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2232.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,3686410,N,False,159,5013,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2232.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,95cc5e9,N,False,155,5138,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2232.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,d7e2125,N,False,158,5117,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2232.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,de51531,N,False,158,5153,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2255.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,3686410,N,False,164,5013,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2255.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,95cc5e9,N,False,157,5138,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2255.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,d7e2125,R,False,166,5117,1,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2255.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,de51531,N,False,156,5153,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2318.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,3686410,N,False,158,5013,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2318.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,95cc5e9,N,False,153,5138,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2318.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,d7e2125,N,False,160,5117,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2318.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,de51531,N,False,157,5153,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2341.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,3686410,N,False,168,5013,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2341.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,95cc5e9,N,False,164,5138,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2341.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,d7e2125,R,False,161,5117,1,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2341.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,de51531,N,False,155,5153,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0004.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,3686410,N,False,156,5013,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0004.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,95cc5e9,N,False,163,5138,0,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0004.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,d7e2125,R,False,167,5117,1,0
SUMMARY_jerryscript_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0004.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,jerryscript,de51531,N,False,170,5153,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0926.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,8c27b12,N,False,122,65,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0926.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,832e069,X,True,105,141,2,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0926.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,4c7f6be,N,False,105,145,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0926.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,3f71a1c,N,False,68,166,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0939.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,8c27b12,N,False,81,65,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0939.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,832e069,X,True,83,141,2,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0939.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,4c7f6be,N,False,128,145,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0939.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,3f71a1c,N,False,55,166,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0951.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,8c27b12,N,False,120,65,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0951.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,832e069,X,True,113,141,2,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0951.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,4c7f6be,N,False,95,145,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0951.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,3f71a1c,N,False,47,166,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1003.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,8c27b12,N,False,93,65,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1003.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,832e069,X,True,93,141,2,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1003.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,4c7f6be,N,False,97,145,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1003.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,3f71a1c,N,False,67,166,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1014.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,8c27b12,N,False,97,65,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1014.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,832e069,X,True,91,141,2,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1014.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,4c7f6be,N,False,96,145,0,0
SUMMARY_mujs_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1014.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,3f71a1c,N,False,46,166,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0933.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,833f82c,N,False,87,65,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0933.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,6871e5b,N,False,83,141,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0933.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,f93d245,N,False,107,145,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0933.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,8b5ba20,N,False,90,166,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0945.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,833f82c,N,False,138,65,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0945.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,6871e5b,N,False,70,141,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0945.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,f93d245,N,False,101,145,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0945.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,8b5ba20,N,False,87,166,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0957.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,833f82c,N,False,72,65,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0957.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,6871e5b,N,False,79,141,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0957.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,f93d245,N,False,102,145,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0957.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,8b5ba20,N,False,59,166,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1009.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,833f82c,N,False,101,65,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1009.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,6871e5b,N,False,91,141,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1009.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,f93d245,N,False,92,145,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1009.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,8b5ba20,N,False,50,166,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1020.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,833f82c,N,False,141,65,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1020.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,6871e5b,N,False,81,141,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1020.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,f93d245,N,False,89,145,0,0
SUMMARY_mujs_FIX_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-1020.txt,FIX,NONE,5,gpt-4o-2024-08-06,0.5,,,,mujs,8b5ba20,N,False,119,166,0,0
SUMMARY_php-src_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2219.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,php-src,5cb38e9,N,False,114,16777,0,0
SUMMARY_php-src_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2219.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,php-src,8c704ab,N,False,159,16978,0,0
SUMMARY_php-src_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2219.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,php-src,998bce1,N,False,146,17442,0,0
SUMMARY_php-src_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250306-2219.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,php-src,7904a08,N,False,129,17463,0,0
SUMMARY_php-src_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0852.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,php-src,5cb38e9,N,False,113,16777,0,0
SUMMARY_php-src_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0852.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,php-src,8c704ab,N,False,146,16978,0,0
SUMMARY_php-src_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0852.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,php-src,998bce1,N,False,150,17442,0,0
SUMMARY_php-src_BIC_GITNONE_ITER5_gpt-4o-2024-08-06_TEMP0.5_250307-0852.txt,BIC,NONE,5,gpt-4o-2024-08-06,0.5,,,,php-src,7904a08,N,False,129,17463,0,0
